Seconds=   0.000	
Seconds=   0.387	ssv_file_get_value() could not navigate columns!
Seconds=   0.387	ssv_file_get_value() could not navigate columns!
Seconds=   0.387	ssv_file_get_value() could not navigate columns!
Seconds=   0.387	ssv_file_get_value() could not navigate columns!
Seconds=   0.387	ssv_file_get_value() could not navigate columns!
Seconds=   0.387	ssv_file_get_value() could not navigate columns!
Seconds=   0.387	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.388	ssv_file_get_value() could not navigate columns!
Seconds=   0.389	ssv_file_get_value() could not navigate columns!
Seconds=   0.389	ssv_file_get_value() could not navigate columns!
Seconds=   0.389	ssv_file_get_value() could not navigate columns!
Seconds=   0.389	ssv_file_get_value() could not navigate columns!
Seconds=   0.389	ssv_file_get_value() could not navigate columns!
Seconds=   0.389	ssv_file_get_value() could not navigate columns!
Seconds=   0.389	ssv_file_get_value() could not navigate columns!
Seconds=   0.390	ssv_file_get_value() could not navigate columns!
Seconds=   0.390	ssv_file_get_value() could not navigate columns!
Seconds=   0.390	ssv_file_get_value() could not navigate columns!
Seconds=   0.390	ssv_file_get_value() could not navigate columns!
Seconds=   0.390	ssv_file_get_value() could not navigate columns!
Seconds=   0.390	ssv_file_get_value() could not navigate columns!
Seconds=   0.390	ssv_file_get_value() could not navigate columns!
Seconds=   0.391	ssv_file_get_value() could not navigate columns!
Seconds=   0.391	ssv_file_get_value() could not navigate columns!
Seconds=   0.391	ssv_file_get_value() could not navigate columns!
Seconds=   0.391	ssv_file_get_value() could not navigate columns!
Seconds=   0.391	ssv_file_get_value() could not navigate columns!
Seconds=   0.391	ssv_file_get_value() could not navigate columns!
Seconds=   0.391	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.392	ssv_file_get_value() could not navigate columns!
Seconds=   0.393	ssv_file_get_value() could not navigate columns!
Seconds=   0.393	ssv_file_get_value() could not navigate columns!
Seconds=   0.393	ssv_file_get_value() could not navigate columns!
Seconds=   0.394	ssv_file_get_value() could not navigate columns!
Seconds=   0.394	ssv_file_get_value() could not navigate columns!
Seconds=   0.394	ssv_file_get_value() could not navigate columns!
Seconds=   0.394	ssv_file_get_value() could not navigate columns!
Seconds=   0.394	ssv_file_get_value() could not navigate columns!
Seconds=   0.394	ssv_file_get_value() could not navigate columns!
Seconds=   0.395	ssv_file_get_value() could not navigate columns!
Seconds=   0.395	ssv_file_get_value() could not navigate columns!
Seconds=   0.395	ssv_file_get_value() could not navigate columns!
Seconds=   0.395	ssv_file_get_value() could not navigate columns!
Seconds=   0.395	ssv_file_get_value() could not navigate columns!
Seconds=   0.395	ssv_file_get_value() could not navigate columns!
Seconds=   0.395	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.396	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.397	ssv_file_get_value() could not navigate columns!
Seconds=   0.398	ssv_file_get_value() could not navigate columns!
Seconds=   0.398	ssv_file_get_value() could not navigate columns!
Seconds=   0.398	ssv_file_get_value() could not navigate columns!
Seconds=   0.398	ssv_file_get_value() could not navigate columns!
Seconds=   0.398	ssv_file_get_value() could not navigate columns!
Seconds=   0.398	ssv_file_get_value() could not navigate columns!
Seconds=   0.398	ssv_file_get_value() could not navigate columns!
Seconds=   0.399	ssv_file_get_value() could not navigate columns!
Seconds=   0.399	ssv_file_get_value() could not navigate columns!
Seconds=   0.399	ssv_file_get_value() could not navigate columns!
Seconds=   0.399	ssv_file_get_value() could not navigate columns!
Seconds=   0.399	ssv_file_get_value() could not navigate columns!
Seconds=   0.399	ssv_file_get_value() could not navigate columns!
Seconds=   0.399	ssv_file_get_value() could not navigate columns!
Seconds=   0.400	ssv_file_get_value() could not navigate columns!
Seconds=   0.400	ssv_file_get_value() could not navigate columns!
Seconds=   0.400	ssv_file_get_value() could not navigate columns!
Seconds=   0.400	ssv_file_get_value() could not navigate columns!
Seconds=   0.400	ssv_file_get_value() could not navigate columns!
Seconds=   0.400	ssv_file_get_value() could not navigate columns!
Seconds=   0.401	ssv_file_get_value() could not navigate columns!
Seconds=   0.401	ssv_file_get_value() could not navigate columns!
