 0.000000e+000, 8.488864e-003, 0.000000e+000,-4.571039e-004, 1.054945e+006, 0.000000e+000,-5.718062e+002, 2.731279e-002, 1.479841e+009, 5.000000e-001, 1.000000e+000, 3.631441e+002, 1.000000e+000,-4.832675e+000, 0.000000e+000,-2.024222e-001,-3.814350e-002, 3.004632e-003, 5.000000e-001, 5.000000e-001, 0.000000e+000,-7.373855e-004,-2.118884e+006,-2.921931e+003, 1.000000e+000,-3.598063e-003, 0.000000e+000,-6.316817e+001, 5.000656e-001, 7.117809e+000, 0.000000e+000, 1.000000e+000,-1.369376e-003,
 8.455578e-003, 0.000000e+000, 9.639393e-003,-1.732516e-001,-1.969974e+003,-1.243323e+002, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 7.531736e+009, 1.#INF00e+000,-0.000000e+000, 0.000000e+000,-1.881990e-001,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 0.000000e+000, 1.#INF00e+000,-2.118289e+006,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.000000e+000, 7.149566e+000, 9.533667e+002, 7.940234e-002,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.805802e+004,-5.718062e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.068365e+000, 0.000000e+000,-0.000000e+000, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 4.740223e-005, 0.000000e+000, 1.234560e-001,-4.391810e+002, 6.105754e-004, 0.000000e+000, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.044924e+000, 9.533667e+002, 1.#INF00e+000, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 7.820579e+002,-1.969974e+003,-1.970781e+002, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.234560e-001,-1.#INF00e+000, 0.000000e+000,-0.000000e+000, 0.000000e+000, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 0.000000e+000, 1.000000e+000, 0.000000e+000, 1.234560e-001,-4.391810e+002, 0.000000e+000, 6.489240e-002,-1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.044924e+000, 9.526550e+002, 0.000000e+000,-1.#INF00e+000,
 8.455294e-003, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.969974e+003,-2.159190e+002, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 0.000000e+000,-1.045232e-002, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 4.742810e-005, 1.494594e-005, 1.234560e-001,-4.391810e+002, 0.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 9.526550e+002, 5.008400e-001, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.#INF00e+000,-2.027015e+001, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.068365e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000,-6.611422e+000, 1.234560e-001, 4.738294e-005, 0.000000e+000, 0.000000e+000,-2.118289e+006, 1.234560e-001, 6.489022e-002,-1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000,-1.#INF00e+000, 9.526611e+002, 7.182894e-001, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.969974e+003,-6.788903e+001,-1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-2.856643e+012, 1.#INF00e+000,-0.000000e+000, 0.000000e+000, 0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000, 9.677761e+003, 0.000000e+000, 7.117809e+000, 9.526550e+002, 6.943216e-001, 1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 4.346353e+001, 1.#INF00e+000,-1.682265e+002, 1.949344e-002,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 4.830304e+011, 1.234560e-001, 0.000000e+000, 0.000000e+000, 1.234560e-001, 1.003478e+005, 1.234560e-001, 1.000000e+000, 4.740242e-005, 1.494594e-005, 0.000000e+000,-2.118289e+006,-2.333621e+003, 6.489022e-002, 1.#INF00e+000, 1.234560e-001, 9.677761e+003, 0.000000e+000, 7.013633e+000, 9.527045e+002, 1.375620e+000,-1.#INF00e+000,
 8.455294e-003, 0.000000e+000, 1.#INF00e+000, 4.291421e+001,-1.969974e+003,-2.148922e+002,-1.#INF00e+000,-1.#INF00e+000, 1.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 1.068365e+000, 0.000000e+000, 1.#INF00e+000, 2.141125e+007,-1.#INF00e+000, 1.000000e+000, 1.000000e+000, 1.210629e-004, 1.#INF00e+000,-4.391810e+002,-1.#INF00e+000, 6.489263e-002, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000, 1.000000e+000,-1.#INF00e+000, 9.533667e+002, 1.234560e-001, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.969974e+003,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.012351e+015, 1.234560e-001,-0.000000e+000, 0.000000e+000, 1.234560e-001,-1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.494594e-005, 1.234560e-001,-4.393045e+002,-0.000000e+000, 0.000000e+000,-1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 7.117793e+000, 9.526550e+002, 1.957318e-001, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.805802e+004,-2.085694e+002, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.234560e-001,-1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 0.000000e+000, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 0.000000e+000, 1.000000e+000, 1.494594e-005, 1.#INF00e+000,-4.391810e+002,-2.387877e-006, 6.489022e-002, 1.#INF00e+000, 1.234560e-001, 9.819424e+003, 1.000000e+000, 7.044924e+000, 9.533667e+002, 0.000000e+000, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.#INF00e+000,-2.430495e+002, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 0.000000e+000,-0.000000e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 0.000000e+000, 4.740102e-005, 0.000000e+000,-2.573657e-015,-4.391810e+002,-3.898020e+003, 0.000000e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.000000e+000, 7.013633e+000, 9.526550e+002, 6.943325e-001,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 4.291011e+001,-1.#INF00e+000,-2.882263e+002,-1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.068365e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.370294e+026, 1.000000e+000, 1.000000e+000, 1.494594e-005, 4.023203e+003,-4.393045e+002,-1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000,-6.556667e+011, 1.000000e+000, 7.117809e+000, 9.527045e+002, 7.940109e-002, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.969974e+003,-1.262369e+002, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 8.215618e+009, 0.000000e+000, 1.#INF00e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 0.000000e+000, 1.234560e-001,-2.118289e+006, 1.234560e-001, 9.575037e-022, 1.#INF00e+000, 1.#INF00e+000, 9.677761e+003, 1.000000e+000, 7.013633e+000, 9.534163e+002, 6.937463e-001, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000, 2.959320e+002,-2.002225e+002, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 0.000000e+000, 1.234560e-001, 0.000000e+000, 0.000000e+000,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 0.000000e+000,-1.330031e-001,-4.391810e+002,-1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.013633e+000, 9.526550e+002, 1.375620e+000,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 7.820579e+002, 1.#INF00e+000,-2.284228e+002, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 0.000000e+000, 0.000000e+000,-1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 1.000000e+000, 0.000000e+000, 1.234560e-001,-4.391810e+002,-0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.000000e+000, 7.044924e+000, 9.533667e+002, 0.000000e+000,-1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 7.820579e+002,-1.969974e+003,-1.060020e+002, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 0.000000e+000, 0.000000e+000,-2.118884e+006,-1.#INF00e+000, 6.489022e-002,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.000000e+000, 7.013633e+000, 9.526550e+002, 7.940109e-002,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.805802e+004,-9.548021e+001, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 0.000000e+000,-1.#INF00e+000, 1.#INF00e+000,-0.000000e+000, 0.000000e+000,-2.024705e-001,-1.#INF00e+000, 1.#INF00e+000, 1.000000e+000, 4.742837e-005, 1.494594e-005, 1.234560e-001,-4.391810e+002,-3.898020e+003, 6.489072e-002, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.000000e+000, 1.565864e+006, 9.526550e+002, 1.100748e-001, 1.#INF00e+000,
 8.455578e-003, 0.000000e+000, 1.#INF00e+000, 4.362385e+001,-1.969974e+003,-2.027015e+001, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 0.000000e+000, 1.234560e-001,-1.087094e+005,-1.#INF00e+000, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.234560e-001,-4.393045e+002, 0.000000e+000, 6.492653e-002,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 0.000000e+000, 1.558909e+006, 9.534163e+002, 1.100748e-001,-1.#INF00e+000,
 8.457594e-003, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.805802e+004,-1.295020e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 1.000000e+000, 0.000000e+000, 1.234560e-001,-4.393045e+002,-0.000000e+000, 6.489240e-002, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.000000e+000, 7.048144e+000, 9.533667e+002, 4.530769e+000,-1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 7.825671e-001, 4.346898e+001, 1.#INF00e+000,-3.220919e+002,-1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 1.068365e+000, 0.000000e+000,-0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.363858e+001,-4.391810e+002,-3.898020e+003, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.013633e+000, 9.533667e+002, 6.386183e+000,-1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.969974e+003,-1.349761e+002,-1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000,-2.494568e+008, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.210629e-004,-0.000000e+000,-2.118289e+006,-0.000000e+000, 6.486732e-002,-1.#INF00e+000,-1.#INF00e+000, 9.677761e+003, 1.000000e+000, 7.044924e+000, 9.526550e+002, 0.000000e+000, 1.#INF00e+000,
 8.457594e-003, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.969974e+003,-1.626578e+002,-0.000000e+000, 1.#INF00e+000, 1.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001,-0.000000e+000, 0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.234560e-001,-2.118289e+006,-1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 9.677761e+003, 1.000000e+000, 7.013633e+000, 9.534163e+002, 1.100748e-001, 1.#INF00e+000,
 8.455578e-003, 0.000000e+000, 1.#INF00e+000, 0.000000e+000, 2.959320e+002,-9.189304e+001, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000,-0.000000e+000, 0.000000e+000,-0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.234560e-001,-2.118289e+006,-1.#INF00e+000, 6.489049e-002, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 1.558909e+006, 9.526550e+002, 6.943216e-001, 1.#INF00e+000,
 8.457594e-003, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.969974e+003,-5.718062e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 0.000000e+000, 1.234560e-001, 0.000000e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 1.000000e+000, 1.000000e+000, 0.000000e+000, 1.234560e-001,-4.391810e+002,-0.000000e+000, 6.489240e-002, 1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 7.013633e+000, 9.534163e+002, 1.#INF00e+000,-1.#INF00e+000,
 8.457594e-003, 0.000000e+000, 1.#INF00e+000,-1.732605e-001,-1.805802e+004,-5.285078e+002, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 0.000000e+000, 0.000000e+000,-2.069439e-001,-1.#INF00e+000,-1.#INF00e+000, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.#INF00e+000,-4.391810e+002,-0.000000e+000, 1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000, 1.000000e+000, 7.149566e+000, 9.527045e+002, 2.180851e-001, 1.#INF00e+000,
 8.455578e-003, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.969974e+003,-2.691707e+002, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 0.000000e+000, 0.000000e+000,-1.#INF00e+000, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 1.000000e+000, 1.494594e-005,-5.932848e-003,-2.118289e+006,-3.898354e+003, 1.234560e-001, 1.#INF00e+000, 1.#INF00e+000, 9.677761e+003, 0.000000e+000, 7.013633e+000, 9.527045e+002, 1.#INF00e+000, 1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.969974e+003, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.234560e-001, 0.000000e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000, 1.000000e+000, 0.000000e+000, 1.234560e-001,-4.391810e+002,-3.387020e+003, 1.#INF00e+000,-1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000, 1.000000e+000, 7.013633e+000, 9.526550e+002, 0.000000e+000,-1.#INF00e+000,
 8.455578e-003, 0.000000e+000, 1.#INF00e+000, 7.820579e+002,-1.969974e+003,-3.419673e+002,-0.000000e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 0.000000e+000,-0.000000e+000, 0.000000e+000,-2.024705e-001, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 1.000000e+000, 0.000000e+000, 0.000000e+000, 1.#INF00e+000,-0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.000000e+000,-1.#INF00e+000, 9.534163e+002, 6.537892e-001, 1.#INF00e+000,
-8.874582e+004, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.969974e+003,-2.908789e+002, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 0.000000e+000, 1.#INF00e+000, 1.234560e-001, 1.#INF00e+000, 0.000000e+000,-1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 1.000000e+000, 1.494594e-005,-0.000000e+000, 1.#INF00e+000,-0.000000e+000, 1.#INF00e+000, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.044924e+000, 9.533667e+002, 1.#INF00e+000,-1.#INF00e+000,
 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.805802e+004,-5.285078e+002, 1.234560e-001, 1.#INF00e+000, 0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000,-0.000000e+000, 0.000000e+000, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 4.740196e-005, 1.494594e-005, 1.234560e-001,-2.118289e+006,-0.000000e+000, 6.489072e-002, 1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 1.000000e+000, 7.044924e+000, 9.527045e+002, 1.100748e-001, 1.#INF00e+000,
 8.455294e-003, 0.000000e+000, 1.#INF00e+000,-0.000000e+000,-1.969974e+003,-1.899501e+002, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.234560e-001,-1.#INF00e+000, 0.000000e+000,-2.625395e+000, 0.000000e+000, 1.234560e-001, 1.#INF00e+000, 1.234560e-001, 1.000000e+000, 1.000000e+000, 1.494594e-005, 1.234560e-001,-2.118289e+006,-1.#INF00e+000, 1.#INF00e+000,-1.#INF00e+000, 1.#INF00e+000, 1.#INF00e+000, 0.000000e+000, 7.149566e+000, 9.527045e+002, 1.985077e+000,-1.#INF00e+000,
-1.#INF00e+000, 0.000000e+000, 1.#INF00e+000, 0.000000e+000,-1.969974e+003, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 1.234560e-001, 1.#INF00e+000,-1.#INF00e+000, 1.234560e-001, 1.234560e-001, 0.000000e+000, 0.000000e+000,-1.#INF00e+000, 1.234560e-001, 0.000000e+000, 4.740223e-005, 0.000000e+000, 1.234560e-001,-2.118289e+006,-0.000000e+000, 6.489022e-002, 1.#INF00e+000, 1.234560e-001,-1.#INF00e+000, 0.000000e+000, 7.044924e+000, 9.534163e+002, 9.197927e-001,-1.#INF00e+000,
