primes_found,time_since_last_batch
1000,0.02800154685974121
2000,0.04300260543823242
3000,0.04500246047973633
4000,0.05700325965881348
5000,0.049002647399902344
6000,0.04700279235839844
7000,0.054003000259399414
8000,0.059003591537475586
9000,0.07800436019897461
10000,0.05800318717956543
11000,0.0630037784576416
12000,0.06600379943847656
13000,0.09600543975830078
14000,0.09100532531738281
15000,0.08100438117980957
16000,0.08800506591796875
17000,0.1000056266784668
18000,0.09700560569763184
19000,0.10300612449645996
20000,0.0890049934387207
21000,0.09300518035888672
22000,0.09800577163696289
23000,0.10400605201721191
24000,0.11700654029846191
25000,0.09600543975830078
26000,0.10600614547729492
27000,0.10300588607788086
28000,0.10900616645812988
29000,0.1020057201385498
30000,0.12100720405578613
31000,0.09700560569763184
32000,0.11200642585754395
33000,0.141007661819458
34000,0.12500715255737305
35000,0.13800811767578125
36000,0.15600895881652832
37000,0.14500832557678223
38000,0.13400769233703613
39000,0.13200736045837402
40000,0.17701005935668945
41000,0.18301057815551758
42000,0.19301104545593262
43000,0.20701169967651367
44000,0.16600966453552246
45000,0.17100977897644043
46000,0.13800787925720215
47000,0.12300705909729004
48000,0.13800764083862305
49000,0.13800811767578125
50000,0.14600825309753418
51000,0.13600802421569824
52000,0.13300752639770508
53000,0.11100625991821289
54000,0.12000703811645508
55000,0.10100579261779785
56000,0.12300682067871094
57000,0.14500856399536133
58000,0.13100743293762207
59000,0.12000656127929688
60000,0.11800694465637207
61000,0.13600778579711914
62000,0.1390078067779541
63000,0.10900640487670898
64000,0.13500761985778809
65000,0.13600778579711914
66000,0.12000679969787598
67000,0.11200642585754395
68000,0.13600778579711914
69000,0.1500086784362793
70000,0.11800670623779297
71000,0.11200618743896484
72000,0.13000774383544922
73000,0.1390078067779541
74000,0.12900757789611816
75000,0.15300846099853516
76000,0.15900945663452148
77000,0.13500761985778809
78000,0.1610090732574463
79000,0.13600778579711914
80000,0.11800670623779297
81000,0.1500086784362793
82000,0.14300823211669922
83000,0.15800881385803223
84000,0.15300893783569336
85000,0.1480083465576172
86000,0.1350078582763672
87000,0.1540088653564453
88000,0.12400698661804199
89000,0.126007080078125
90000,0.1630094051361084
91000,0.15500903129577637
92000,0.1410079002380371
93000,0.18401050567626953
94000,0.14900851249694824
95000,0.13100743293762207
96000,0.1760101318359375
97000,0.15100860595703125
98000,0.14900875091552734
99000,0.17700982093811035
100000,0.16200947761535645
101000,0.15800905227661133
102000,0.14300823211669922
103000,0.14400815963745117
104000,0.16200923919677734
105000,0.14400815963745117
106000,0.1610093116760254
107000,0.15700888633728027
108000,0.16000914573669434
109000,0.14600849151611328
110000,0.14700818061828613
111000,0.13100743293762207
112000,0.13600802421569824
113000,0.16900968551635742
114000,0.17500996589660645
115000,0.14500832557678223
116000,0.15300869941711426
117000,0.1500086784362793
118000,0.1500084400177002
119000,0.18201041221618652
120000,0.17500996589660645
121000,0.14400839805603027
122000,0.17901015281677246
123000,0.17901039123535156
124000,0.15300869941711426
125000,0.17000985145568848
126000,0.1760098934173584
127000,0.15900897979736328
128000,0.16800975799560547
129000,0.15800881385803223
130000,0.15800905227661133
131000,0.1870107650756836
132000,0.1610093116760254
133000,0.17300987243652344
134000,0.1890108585357666
135000,0.1780102252960205
136000,0.16800951957702637
137000,0.2000114917755127
138000,0.17300987243652344
139000,0.1630091667175293
140000,0.16400957107543945
141000,0.17901015281677246
142000,0.1760101318359375
143000,0.19001078605651855
144000,0.18801093101501465
145000,0.2020113468170166
146000,0.1650094985961914
147000,0.20901203155517578
148000,0.19001078605651855
149000,0.17300987243652344
150000,0.2020115852355957
151000,0.19501113891601562
152000,0.22201251983642578
153000,0.18201041221618652
154000,0.14700865745544434
155000,0.17701005935668945
156000,0.1890106201171875
157000,0.14900875091552734
158000,0.2020115852355957
159000,0.17701005935668945
160000,0.17701005935668945
161000,0.15600895881652832
162000,0.15100884437561035
163000,0.16400909423828125
164000,0.18401050567626953
165000,0.17200994491577148
166000,0.20901203155517578
167000,0.17901015281677246
168000,0.18401050567626953
169000,0.1910109519958496
170000,0.19401121139526367
171000,0.1760098934173584
172000,0.1980113983154297
173000,0.18301033973693848
174000,0.1780104637145996
175000,0.16900968551635742
176000,0.19601106643676758
177000,0.21401238441467285
178000,0.19701099395751953
179000,0.2020118236541748
180000,0.1760098934173584
181000,0.19301128387451172
182000,0.17300963401794434
183000,0.16400933265686035
184000,0.16800951957702637
185000,0.1740100383758545
186000,0.17901039123535156
187000,0.16600942611694336
188000,0.1870107650756836
189000,0.22101283073425293
190000,0.21901226043701172
191000,0.21001195907592773
192000,0.18001031875610352
193000,0.20801186561584473
194000,0.19001078605651855
195000,0.17501020431518555
196000,0.19901132583618164
197000,0.19201087951660156
198000,0.1910111904144287
199000,0.19501113891601562
200000,0.20301151275634766
201000,0.2130122184753418
202000,0.2020115852355957
203000,0.18201041221618652
204000,0.19201111793518066
205000,0.19501090049743652
206000,0.23101329803466797
207000,0.18001008033752441
