573	5462	10503	13403	158	3004	4689	1078	11402	189	4912	20209	6634	47119	1053	4024	136	19889	24848	33943	3719	6589	3117	113	7383	536	0	0	0	0	0	0	0	0	0	0	
3823	253	13	37	17815	13	6	21	1820	126	3	3951	28	16	6349	7	0	2568	435	290	6985	212	34	0	1586	0	0	0	0	0	0	0	0	0	0	0	
9786	49	825	82	9468	27	21	10214	2721	4	3593	2134	72	19	14373	56	21	2714	378	4952	1461	11	51	0	318	1	0	0	0	0	0	0	0	0	0	0	
10820	4838	1722	2657	22124	2451	1655	6690	14683	527	484	2367	2937	5882	13314	1843	422	3611	8291	14416	2192	809	4246	34	4183	5	0	0	0	0	0	0	0	0	0	0	
32655	6985	13610	32888	13902	8024	5455	9802	11920	714	1765	15696	12914	37060	9569	7582	1421	57292	34269	28734	1576	8964	15917	2558	10174	151	0	0	0	0	0	0	0	0	0	0	
5662	477	1057	396	5388	2858	268	1907	6122	87	87	2008	650	206	10611	608	47	4527	1145	8142	1866	107	874	9	1084	3	0	0	0	0	0	0	0	0	0	0	
6343	887	418	357	8523	925	2868	10089	5670	730	42	1275	1292	1109	7581	414	107	4622	2683	5591	1868	125	1319	9	856	1	0	0	0	0	0	0	0	0	0	0	
36281	479	307	281	92160	370	196	1207	27305	62	40	341	674	382	14868	305	41	1792	1152	8298	3057	60	668	3	1978	0	0	0	0	0	0	0	0	0	0	0	
3032	2265	7432	14857	6973	5799	7198	971	125	110	2953	11125	11816	51376	6939	2184	71	7815	20685	25700	211	4794	1421	258	32	1008	0	0	0	0	0	0	0	0	0	0	
1502	1	2	0	384	0	0	2	53	1	2	1	2	26	673	10	0	8	2	1	2007	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	
1226	257	102	155	9820	293	74	682	4897	39	13	462	184	4273	1156	111	28	74	1257	1794	154	22	587	5	431	0	0	0	0	0	0	0	0	0	0	0	
10927	1315	654	12133	20378	2420	454	1604	13907	94	1247	18033	1429	557	10061	1107	50	976	3437	4783	1885	610	1719	1	10963	2	0	0	0	0	0	0	0	0	0	0	
13696	1981	377	426	18498	619	333	1120	8282	95	76	396	1965	761	8147	3045	51	216	2546	3088	2865	73	1119	3	3411	3	0	0	0	0	0	0	0	0	0	0	
8863	2133	6092	34984	19756	2271	28060	4849	8985	253	2743	3643	1598	1824	19767	1069	186	781	10231	33899	1167	785	3299	33	4985	324	0	0	0	0	0	0	0	0	0	0	
3116	4358	3087	6885	2132	16659	2722	3860	4660	229	4120	9117	14547	30401	9899	4851	147	24082	9859	18669	39242	3850	13911	86	2744	217	0	0	0	0	0	0	0	0	0	0	
5121	231	101	82	10036	234	61	1091	3330	14	16	5661	205	87	5287	2589	7	4486	1466	2604	2071	12	460	1	358	0	0	0	0	0	0	0	0	0	0	0	
20	0	0	0	0	1	0	1	685	0	0	0	1	0	3	0	0	1	0	0	3182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14720	2495	3087	5006	39105	2631	2107	3950	12879	213	1987	3299	4451	3920	15647	1976	184	3129	14047	11931	3046	1182	4034	14	6320	8	0	0	0	0	0	0	0	0	0	0	
19418	3562	4948	1977	19682	2916	1418	15784	13718	464	2086	3253	3492	4421	14935	6337	540	1283	11584	32278	4625	576	6892	22	1792	3	0	0	0	0	0	0	0	0	0	0	
